,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
62915,6211398050 M/b Shirts Text Mat Nesoi Lt 70% Slk/slk Wst Nt Kn (doz),November 2018,China,3628,,0,0,0,6211398050,2018,November
63011,"6211420554 W/g Cot Blses, Shrts & Shrt-blses, 2+ Clrs Wp, Rpo (doz)",June 2018,China,5410,,0,0,0,6211420554,2018,June
63248,6211430520 Girls' Cvrals & Sim Apparel M-m Fib N Insultd  Rpo (doz),January 2018,China,4498,,0,0,0,6211430520,2018,January
65070,"6302213020 Sheets Print Cotton, Napped, With Trimming, Etc (no)",February 2018,China,74593,,0,0,0,6302213020,2018,February
65348,"6302313010 Pillowcases, Cott, Napped,not Print/knit,with Trim (no)",March 2018,China,9220,,0,0,0,6302313010,2018,March
66463,6304994000 Other N/kt Nesoi Mat Nesoi Cert Hndlmd Pil Cov Wol (kg),July 2018,China,26955,,0,0,0,6304994000,2018,July
67620,"6402912600 Oth Ftwr R/p Mtl Toe-cap ($6.50-$12/pair), Cov Ank (prs)",January 2018,China,129068,,0,0,0,6402912600,2018,January
67859,6402918021 Men Fwr Rubr Out Sol Upr Cov Ank $6.51-12/pr Nesoi (prs),April 2018,China,51443,,0,0,0,6402918021,2018,April
67993,"6402991600 Oth Ftwr R/p Mtl Toe-cap($3-$6.50/pair),nt Cov Ank (prs)",January 2018,China,841189,,0,0,0,6402991600,2018,January
67994,"6402991600 Oth Ftwr R/p Mtl Toe-cap($3-$6.50/pair),nt Cov Ank (prs)",February 2018,China,287880,,0,0,0,6402991600,2018,February
67996,"6402991600 Oth Ftwr R/p Mtl Toe-cap($3-$6.50/pair),nt Cov Ank (prs)",April 2018,China,183476,,0,0,0,6402991600,2018,April
68035,6402992390 Oth Ftwr R/p Up Gt 90% R/p Base Wood Othr Persons (prs),June 2018,China,654,,0,0,0,6402992390,2018,June
68045,6402992560 Oth Ftwr R/p Upper Gt 90% R/p Base Of Cork; Women (prs),April 2018,China,201405,,0,0,0,6402992560,2018,April
68358,"6402997915 Oth Ftwr R/p Val ($3-$6.50/pair) House Slipper,nes (prs)",August 2018,China,48195,,0,0,0,6402997915,2018,August
