,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
10841,2835391000 Potassium Polyphosphates (kg),November 2018,China,35800,,0,0,0,2835391000,2018,November
11810,"2903891100 Halo Pesticides Deriv From Benzene Etc, Other (kg)",January 2018,China,6556500,,0,0,0,2903891100,2018,January
11813,"2903891100 Halo Pesticides Deriv From Benzene Etc, Other (kg)",May 2018,China,4664000,,0,0,0,2903891100,2018,May
11815,"2903891100 Halo Pesticides Deriv From Benzene Etc, Other (kg)",September 2018,China,2938320,,0,0,0,2903891100,2018,September
12477,"2906293000 1,1-bis(4-chlorophenyl)-2,2,2-trichloroethanol,etc (kg)",July 2018,China,8476,,0,0,0,2906293000,2018,July
12478,"2906293000 1,1-bis(4-chlorophenyl)-2,2,2-trichloroethanol,etc (kg)",November 2018,China,8476,,0,0,0,2906293000,2018,November
13118,2912491500 P-hydroxybenzaldehyde (kg),March 2018,China,2600,,0,0,0,2912491500,2018,March
13731,2915502000 Aromatic Salts And Esters Of Propionic Acid (kg),February 2018,China,8880,,0,0,0,2915502000,2018,February
13734,2915502000 Aromatic Salts And Esters Of Propionic Acid (kg),May 2018,China,6272,,0,0,0,2915502000,2018,May
14587,2918140000 Citric Acid (kg),February 2018,China,32661,,0,0,0,2918140000,2018,February
14588,2918140000 Citric Acid (kg),March 2018,China,9324,,0,0,0,2918140000,2018,March
14655,2918192000 Arom Carboxy Acids With Alch Func But W/o Oth Oxy (kg),May 2018,China,159156,,0,0,0,2918192000,2018,May
15642,2922292900 Amino-naphthols Etc Used As Photographic Chemicals (kg),September 2018,China,45050,,0,0,0,2922292900,2018,September
15643,2922292900 Amino-naphthols Etc Used As Photographic Chemicals (kg),October 2018,China,45050,,0,0,0,2922292900,2018,October
16137,2924294300 3-ethoxycarbonyl-aminophenyl-n-phenylcarbamate Etc (kg),January 2018,China,700000,,0,0,0,2924294300,2018,January
16198,2924297730 P-amino-benzamide (kg),February 2018,China,2730,,0,0,0,2924297730,2018,February
18314,"2934992000 Heterocyc Cmpds Used As Photo Chemicals, Nesoi (kg)",January 2018,China,1046931,,0,0,0,2934992000,2018,January
18320,"2934992000 Heterocyc Cmpds Used As Photo Chemicals, Nesoi (kg)",July 2018,China,812272,,0,0,0,2934992000,2018,July
18322,"2934992000 Heterocyc Cmpds Used As Photo Chemicals, Nesoi (kg)",September 2018,China,551391,,0,0,0,2934992000,2018,September
18324,"2934992000 Heterocyc Cmpds Used As Photo Chemicals, Nesoi (kg)",November 2018,China,594648,,0,0,0,2934992000,2018,November
18325,"2934992000 Heterocyc Cmpds Used As Photo Chemicals, Nesoi (kg)",December 2018,China,560517,,0,0,0,2934992000,2018,December
21008,"3209900000 Paints & Varnishes,in An Aqueous Medium, Nesoi (l)",January 2018,China,15418,,0,0,0,3209900000,2018,January
21013,"3209900000 Paints & Varnishes,in An Aqueous Medium, Nesoi (l)",June 2018,China,13788,,0,0,0,3209900000,2018,June
21396,3301295111 Essential Oils Of Citronella (kg),May 2018,China,16848,,0,0,0,3301295111,2018,May
21399,3301295111 Essential Oils Of Citronella (kg),August 2018,China,19872,,0,0,0,3301295111,2018,August
23013,3805901000 Pine Oil (kg),January 2018,China,4558,,0,0,0,3805901000,2018,January
23014,3805901000 Pine Oil (kg),June 2018,China,4140,,0,0,0,3805901000,2018,June
23015,3805901000 Pine Oil (kg),August 2018,China,6210,,0,0,0,3805901000,2018,August
23503,"3813005000 Prep & Chgs For Fire Extinguisher Etc, Nesoi (kg)",January 2018,China,119820,,0,0,0,3813005000,2018,January
23504,"3813005000 Prep & Chgs For Fire Extinguisher Etc, Nesoi (kg)",February 2018,China,119820,,0,0,0,3813005000,2018,February
24336,3903901000 Methyl Methacrylate-butadiene-styrene(mbs)copolymr (kg),September 2018,China,24560,,0,0,0,3903901000,2018,September
27275,"3926908300 Empty Cartridge & Cassette, Typewriter & Mach Ribs (no)",March 2018,China,45728,,0,0,0,3926908300,2018,March
28861,4015110110 Surgical Gloves Of Natural Rubber (dpr),February 2018,China,278,,0,0,0,4015110110,2018,February
29270,"4104495000 Tan/crust Bov/equ Hide/skin, Dry State, Nesoi (m2)",January 2018,China,303727,,0,0,0,4104495000,2018,January
29271,"4104495000 Tan/crust Bov/equ Hide/skin, Dry State, Nesoi (m2)",February 2018,China,243410,,0,0,0,4104495000,2018,February
29272,"4104495000 Tan/crust Bov/equ Hide/skin, Dry State, Nesoi (m2)",May 2018,China,567153,,0,0,0,4104495000,2018,May
29273,"4104495000 Tan/crust Bov/equ Hide/skin, Dry State, Nesoi (m2)",July 2018,China,191592,,0,0,0,4104495000,2018,July
29363,4107127090 Bovine//equine Lea Grains Splt Nt Fancy Nesoi (m2),September 2018,China,12622,,0,0,0,4107127090,2018,September
31057,"4401392000 Artificial Fire Lgs, Compsed Of Wax Sawdust,aglmtd (kg)",May 2018,China,8090,,0,0,0,4401392000,2018,May
