,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
56364,6202929031 Girls' Anorak & Smlr Article Cotton Corduroy Nesoi (doz),August 2018,China,0,"3,989",3989,355,3989,6202929031,2018,August
56368,6202929031 Girls' Anorak & Smlr Article Cotton Corduroy Nesoi (doz),December 2018,China,0,"2,207",2207,197,2207,6202929031,2018,December
57309,"6203422505 M/b Ovrlls,n-knit,cotton,insltd Cld Wther Pr Nesoi (doz)",January 2018,China,0,447,447,46,447,6203422505,2018,January
57320,"6203422505 M/b Ovrlls,n-knit,cotton,insltd Cld Wther Pr Nesoi (doz)",December 2018,China,0,"68,774",68774,7084,68774,6203422505,2018,December
57644,6203434500 M/b Trousers Etc Of Syn Fib&gt;15% Down & Wfp  Nesoi (doz),August 2018,China,0,"2,496",0,0,2496,6203434500,2018,August
57662,"6203436005 M Or B Overalls Of Synth Fibers, Insulated  Nesoi (doz)",February 2018,China,0,428,428,64,428,6203436005,2018,February
57665,"6203436005 M Or B Overalls Of Synth Fibers, Insulated  Nesoi (doz)",July 2018,China,0,"1,086",1086,163,1086,6203436005,2018,July
57669,"6203436005 M Or B Overalls Of Synth Fibers, Insulated  Nesoi (doz)",November 2018,China,0,"3,666",3666,546,3666,6203436005,2018,November
57670,"6203436005 M Or B Overalls Of Synth Fibers, Insulated  Nesoi (doz)",December 2018,China,0,"22,843",22843,3403,22843,6203436005,2018,December
57931,"6203496020 Mb Trouser Etc Con Gt=70% Slk/slk Wst, Nt K Nesoi (doz)",September 2018,China,0,"56,949",0,0,56949,6203496020,2018,September
57935,"6203496030 Mb Shorts Con Gt=70% Slk/slk Wst, Not Kt/cr Nesoi (doz)",January 2018,China,0,"49,405",0,0,49405,6203496030,2018,January
57936,"6203496030 Mb Shorts Con Gt=70% Slk/slk Wst, Not Kt/cr Nesoi (doz)",February 2018,China,0,"14,549",0,0,14549,6203496030,2018,February
57938,"6203496030 Mb Shorts Con Gt=70% Slk/slk Wst, Not Kt/cr Nesoi (doz)",April 2018,China,0,"51,434",0,0,51434,6203496030,2018,April
57939,"6203496030 Mb Shorts Con Gt=70% Slk/slk Wst, Not Kt/cr Nesoi (doz)",May 2018,China,0,"28,266",0,0,28266,6203496030,2018,May
57942,"6203496030 Mb Shorts Con Gt=70% Slk/slk Wst, Not Kt/cr Nesoi (doz)",August 2018,China,0,"24,171",0,0,24171,6203496030,2018,August
57943,"6203496030 Mb Shorts Con Gt=70% Slk/slk Wst, Not Kt/cr Nesoi (doz)",September 2018,China,0,"14,263",0,0,14263,6203496030,2018,September
60051,"6205202036 Men's Corduroy Shirts Of Cotton, Not Knit (doz)",March 2018,China,0,"1,839",1839,362,1839,6205202036,2018,March
60324,"6205904020 M/b Shirts Of Ot Textile Mat Subj Wool Res, N Kt (doz)",January 2018,China,0,690,690,19,690,6205904020,2018,January
61640,"6210402800 M/b Garments Nesoi Rubberized Tex Mrtl Ex mmf, Rpo (doz)",February 2018,China,0,"5,328",5328,176,5328,6210402800,2018,February
61645,"6210402800 M/b Garments Nesoi Rubberized Tex Mrtl Ex mmf, Rpo (doz)",July 2018,China,0,366,366,12,366,6210402800,2018,July
61869,"6210500540 W/g Overalls Rubberized Man-made Fibers, Not K Rpo (doz)",June 2018,China,0,"3,128",3128,223,3128,6210500540,2018,June
61908,"6210502250 W/g Anoraks, Etc Of Rubberized Tex Mtrl Ex mmf Rpo (doz)",May 2018,China,0,"13,602",13602,844,13602,6210502250,2018,May
62284,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",January 2018,China,0,"7,798",7798,1161,7798,6211204815,2018,January
62285,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",February 2018,China,0,"7,217",7217,1075,7217,6211204815,2018,February
62286,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",March 2018,China,0,429,429,64,429,6211204815,2018,March
62288,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",May 2018,China,0,"1,098",1098,164,1098,6211204815,2018,May
62289,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",July 2018,China,0,742,742,111,742,6211204815,2018,July
62290,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",September 2018,China,0,396,396,59,396,6211204815,2018,September
62291,"6211204815 M/b Ski-suit, Nesoi, Cotton, Not Knit Or Crochetd (doz)",December 2018,China,0,"6,784",6784,1011,6784,6211204815,2018,December
62620,"6211339003 M/b Cvrals & Smi Apparel mmf Gt=15% Down, Nesoi (doz)",September 2018,China,0,"2,528",2528,404,2528,6211339003,2018,September
62622,"6211339003 M/b Cvrals & Smi Apparel mmf Gt=15% Down, Nesoi (doz)",November 2018,China,0,"6,460",6460,1034,6460,6211339003,2018,November
62957,"6211420507 W/g Cvrlls & Smlr Appl,cotton,n-kt,insltd Prot Rpo (doz)",May 2018,China,0,634,634,51,634,6211420507,2018,May
67448,6402190590 Oth Ftwr Soles R/p Up Gt 90% Ext Sur P Golf Youths (prs),November 2018,China,0,"3,431",3431,206,3431,6402190590,2018,November
67665,"6402914040 Oth Ftwr R/p Ankle Prot Agst Chm Weat,women Wk Ftw (prs)",August 2018,China,0,634,634,38,634,6402914040,2018,August
67694,"6402914230 Mens Fwr Rubr Out Sol Upr,prtcve Hgt Nt Ex 15.34cm (prs)",January 2018,China,0,"4,572",4572,914,4572,6402914230,2018,January
67695,"6402914230 Mens Fwr Rubr Out Sol Upr,prtcve Hgt Nt Ex 15.34cm (prs)",February 2018,China,0,"11,882",11882,2376,11882,6402914230,2018,February
67697,"6402914230 Mens Fwr Rubr Out Sol Upr,prtcve Hgt Nt Ex 15.34cm (prs)",April 2018,China,0,"13,945",13945,2788,13945,6402914230,2018,April
67707,"6402914260 Wmns Fwr Rubr Out Sol Upr,prtcve Hgt Nt Ex 15.34cm (prs)",February 2018,China,0,"12,725",12725,2545,12725,6402914260,2018,February
67725,"6402915010 Oth Ftwr R/p Cov Ank For Protection,men, Work Ftwr (prs)",January 2018,China,0,"5,892",5892,2210,5892,6402915010,2018,January
67726,"6402915010 Oth Ftwr R/p Cov Ank For Protection,men, Work Ftwr (prs)",February 2018,China,0,"5,199",5199,1950,5199,6402915010,2018,February
67731,"6402915010 Oth Ftwr R/p Cov Ank For Protection,men, Work Ftwr (prs)",July 2018,China,0,"2,728",2728,1024,2728,6402915010,2018,July
67732,"6402915010 Oth Ftwr R/p Cov Ank For Protection,men, Work Ftwr (prs)",August 2018,China,0,"3,082",3082,1157,3082,6402915010,2018,August
67733,"6402915010 Oth Ftwr R/p Cov Ank For Protection,men, Work Ftwr (prs)",September 2018,China,0,"2,427",2427,910,2427,6402915010,2018,September
67749,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",January 2018,China,0,"2,389",2389,896,2389,6402915045,2018,January
67750,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",February 2018,China,0,"3,126",3126,1173,3126,6402915045,2018,February
67751,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",March 2018,China,0,"5,629",5629,2111,5629,6402915045,2018,March
67752,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",April 2018,China,0,"8,962",8962,3361,8962,6402915045,2018,April
67753,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",May 2018,China,0,"7,996",7996,2999,7996,6402915045,2018,May
67754,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",June 2018,China,0,"8,044",8044,3016,8044,6402915045,2018,June
67755,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",July 2018,China,0,"4,642",4642,1740,4642,6402915045,2018,July
67756,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",August 2018,China,0,"6,021",6021,2258,6021,6402915045,2018,August
67757,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",September 2018,China,0,"5,608",5608,2103,5608,6402915045,2018,September
67758,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",October 2018,China,0,689,689,258,689,6402915045,2018,October
67759,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",November 2018,China,0,"1,448",1448,543,1448,6402915045,2018,November
67760,"6402915045 Oth Ftwr R/p Cov Ank For Protection, Wom Work Ftwr (prs)",December 2018,China,0,"1,264",1264,474,1264,6402915045,2018,December
67823,6402917060 Oth Ftwr R/p Cv Ank Val ($3-$6.50/pair) Women (prs),April 2018,China,0,680,680,399,680,6402917060,2018,April
67824,6402917060 Oth Ftwr R/p Cv Ank Val ($3-$6.50/pair) Women (prs),May 2018,China,0,272,272,160,272,6402917060,2018,May
67912,"6402919010 Oth Ftwr R/p Cov Ank Val Gt $12/pr, Men, Work Ftwr (prs)",September 2018,China,0,"1,855",1855,371,1855,6402919010,2018,September
67913,"6402919010 Oth Ftwr R/p Cov Ank Val Gt $12/pr, Men, Work Ftwr (prs)",October 2018,China,0,"3,237",3237,648,3237,6402919010,2018,October
67914,"6402919010 Oth Ftwr R/p Cov Ank Val Gt $12/pr, Men, Work Ftwr (prs)",November 2018,China,0,"2,791",2791,558,2791,6402919010,2018,November
67915,"6402919010 Oth Ftwr R/p Cov Ank Val Gt $12/pr, Men, Work Ftwr (prs)",December 2018,China,0,"3,150",3150,631,3150,6402919010,2018,December
67929,"6402919045 Oth Ftwr R/p Cov Ank Val Gt $12/pr,women, Wk Ftwr (prs)",February 2018,China,0,"3,960",3960,792,3960,6402919045,2018,February
67930,"6402919045 Oth Ftwr R/p Cov Ank Val Gt $12/pr,women, Wk Ftwr (prs)",March 2018,China,0,"1,848",1848,369,1848,6402919045,2018,March
67936,"6402919045 Oth Ftwr R/p Cov Ank Val Gt $12/pr,women, Wk Ftwr (prs)",September 2018,China,0,"2,120",2120,424,2120,6402919045,2018,September
67937,"6402919045 Oth Ftwr R/p Cov Ank Val Gt $12/pr,women, Wk Ftwr (prs)",October 2018,China,0,"3,320",3320,663,3320,6402919045,2018,October
67939,"6402919045 Oth Ftwr R/p Cov Ank Val Gt $12/pr,women, Wk Ftwr (prs)",December 2018,China,0,"2,211",2211,442,2211,6402919045,2018,December
68040,6402992530 Oth Ftwr R/p Upper Gt 90% R/p Base Of Cork; Men (prs),June 2018,China,0,"3,705",3705,463,3705,6402992530,2018,June
68041,6402992530 Oth Ftwr R/p Upper Gt 90% R/p Base Of Cork; Men (prs),July 2018,China,0,"4,467",4467,558,4467,6402992530,2018,July
68055,6402992590 Oth Ftwr R/p Upper Gt 90% R/p Base Cork Othr Pers (prs),June 2018,China,0,"1,205",1205,150,1205,6402992590,2018,June
68224,6402993350 Oth Ftwr R/p Protect Agnst Wtr Chem Weather Women (prs),September 2018,China,0,"2,622",2622,984,2622,6402993350,2018,September
68947,6403916030 Ftwr:so R/p:up Lthr:cv Ank:tennis Shoes:men Pigskn (prs),March 2018,China,0,"24,015",24015,2041,24015,6403916030,2018,March
68971,6403916050 Ftwr:so R/p:up Pigsk:cv Ank: Tenis Shoe Youth/boys (prs),March 2018,China,0,664,664,57,664,6403916050,2018,March
69581,6404116930 Ftwr So Affix To Upp Spt Va($3-$6.50/pr) Men Nesoi (prs),December 2018,China,0,"1,379",1379,518,1379,6404116930,2018,December
69585,6404116960 Ftwr So Affix To Up Spt Val($3-$6.50/pr) Wmn Nesoi (prs),April 2018,China,0,"7,716",7716,2895,7716,6404116960,2018,April
69594,6404116990 Ftwr So Affix To Up Spt($3-$6.50/pr) Ot Ex M/w Nes (prs),January 2018,China,0,"1,632",1632,612,1632,6404116990,2018,January
69833,"6404119010 Ski Boots,snowboard Boots,val Gt $12 Per Pair, Men (prs)",December 2018,China,0,"23,198",0,0,23198,6404119010,2018,December
69851,"6404119040 Ski Boots,snowboard Boots,etc Val Gt $12/pr Women (prs)",July 2018,China,0,"17,182",17182,3436,17182,6404119040,2018,July
69856,"6404119040 Ski Boots,snowboard Boots,etc Val Gt $12/pr Women (prs)",December 2018,China,0,"30,745",0,0,30745,6404119040,2018,December
70564,"6404197715 Ftwr Rubplas Sol $3-$6.50 Noadh,up Txt Mat Hse Slp (prs)",April 2018,China,0,"6,553",6553,820,6553,6404197715,2018,April
70572,"6404197715 Ftwr Rubplas Sol $3-$6.50 Noadh,up Txt Mat Hse Slp (prs)",December 2018,China,0,"41,407",41407,5177,41407,6404197715,2018,December
70691,"6404198715 Ftwear Out Sol/ups Txt,nes Ov$6.50nov$12,slippers (prs)",February 2018,China,0,584,584,73,584,6404198715,2018,February
71243,6406901570 Prts Of Ftwr Tex Mat Oth Leg-warmers Other Nesoi (doz),March 2018,China,0,757,757,113,757,6406901570,2018,March
72813,"6807900010 Roofing And Siding Of Asphalt, Or Similar Material (kg)",January 2018,China,0,"46,690",46690,1261,46690,6807900010,2018,January
73565,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",February 2018,China,0,"5,040",5040,504,5040,6907231011,2018,February
73566,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",April 2018,China,0,"10,240",10240,1024,10240,6907231011,2018,April
73568,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",June 2018,China,0,"2,120",2120,212,2120,6907231011,2018,June
73569,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",July 2018,China,0,"13,400",13400,1340,13400,6907231011,2018,July
73570,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",August 2018,China,0,"3,320",3320,332,3320,6907231011,2018,August
73571,"6907231011 Unglzd Cermc Tile, 30 Cm Or Less, H20 Ab Over 10% (m2)",September 2018,China,0,"2,160",2160,216,2160,6907231011,2018,September
