,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
91473,"8407290040 Spk-ign Rec Or Rot Int Com Pst Eng,mari, In/inbord (no)",July 2018,China,0,"3,513",0,0,3513,8407290040,2018,July
91686,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",February 2018,China,0,"4,555",4555,114,4555,8408100030,2018,February
91687,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",May 2018,China,0,"3,079",3079,77,3079,8408100030,2018,May
91688,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",June 2018,China,0,"3,346",3346,84,3346,8408100030,2018,June
91689,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",July 2018,China,0,"6,178",6178,1699,6178,8408100030,2018,July
91690,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",September 2018,China,0,"2,072",2072,570,2072,8408100030,2018,September
91691,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",October 2018,China,0,"42,798",42798,11769,42798,8408100030,2018,October
91692,"8408100030 Comp-igni Pst Eng,marine,exc223.8kw,not Exc 373 Kw (no)",November 2018,China,0,"3,905",3905,1074,3905,8408100030,2018,November
91791,"8408909050 Comp-ign Int Comb Pst Eng,nesoi,exceeding 1,119 Kw (no)",February 2018,China,0,"26,985",0,0,26985,8408909050,2018,February
91792,"8408909050 Comp-ign Int Comb Pst Eng,nesoi,exceeding 1,119 Kw (no)",March 2018,China,0,"67,416",0,0,67416,8408909050,2018,March
91793,"8408909050 Comp-ign Int Comb Pst Eng,nesoi,exceeding 1,119 Kw (no)",April 2018,China,0,"78,226",0,0,78226,8408909050,2018,April
92056,"8411114000 Turbojet Aircraft Engines, Thrust Not Exceed 25 Kn (no)",July 2018,China,0,"22,039",22039,0,22039,8411114000,2018,July
92070,"8411814000 Gas Turbine A/c Engines,nesoi,power Not Exc 5000kw (no)",June 2018,China,0,"2,122",0,0,2122,8411814000,2018,June
92071,"8411814000 Gas Turbine A/c Engines,nesoi,power Not Exc 5000kw (no)",October 2018,China,0,"17,076",17076,865,17076,8411814000,2018,October
92072,"8411814000 Gas Turbine A/c Engines,nesoi,power Not Exc 5000kw (no)",November 2018,China,0,"5,528",5528,1382,5528,8411814000,2018,November
92329,8412390040 Pneum Pwr Eng & Mtrs Unlim Rotary Actng (no),March 2018,China,0,"70,892",0,0,70892,8412390040,2018,March
92386,8412901000 Parts Of Hydrojet Engines For Marine Propulsion (x),December 2018,China,0,"4,014",4014,1004,4014,8412901000,2018,December
93621,"8415810120 Air-cnd,inc Ref & Val For Rv Cl/ht,slf-cn Gt 17.58 (no)",August 2018,China,0,"6,386",6386,64,6386,8415810120,2018,August
94973,"8421398030 Industrial Gas Cleaning Equipment, Nesoi (no)",September 2018,China,0,"1,522,265",1522265,0,1522265,8421398030,2018,September
97242,"8433110040 Riding Mowers, Other Than Electric,7.46kw And Over (no)",October 2018,China,0,"88,453",0,0,88453,8433110040,2018,October
97243,"8433110040 Riding Mowers, Other Than Electric,7.46kw And Over (no)",November 2018,China,0,"23,323",0,0,23323,8433110040,2018,November
97254,"8433110050 Mowers For Lawns,parks,etc.,exc.riding,under 3.7KW (no)",October 2018,China,0,"2,713",0,0,2713,8433110050,2018,October
97256,"8433110060 Mowers For Lawns,parks,etc.,exc.riding Over 3.7KW (no)",January 2018,China,0,"2,743,282",0,0,2743282,8433110060,2018,January
97358,"8433510010 Combine Harvester-threshers, Self-propelled (no)",January 2018,China,0,"230,838",0,0,230838,8433510010,2018,January
97362,"8433510010 Combine Harvester-threshers, Self-propelled (no)",May 2018,China,0,"796,430",0,0,796430,8433510010,2018,May
97363,"8433510010 Combine Harvester-threshers, Self-propelled (no)",June 2018,China,0,"621,714",0,0,621714,8433510010,2018,June
98949,"8450200010 Wash Mach,coin Op,cap Exc 10kg,household,laundry (no)",January 2018,China,0,"11,129",11129,111,11129,8450200010,2018,January
98956,"8450200010 Wash Mach,coin Op,cap Exc 10kg,household,laundry (no)",August 2018,China,0,"9,272",9272,93,9272,8450200010,2018,August
99922,"8459290050 Drill Mch,metal,radial,ex N/c,$3025 & Ov,new (no)",March 2018,China,0,"6,380",6380,268,6380,8459290050,2018,March
99926,"8459290050 Drill Mch,metal,radial,ex N/c,$3025 & Ov,new (no)",December 2018,China,0,"6,380",6380,906,6380,8459290050,2018,December
102632,8472905000 Typewriters; Word Processing Machines (no),March 2018,China,0,"18,400",0,0,18400,8472905000,2018,March
102638,8472905000 Typewriters; Word Processing Machines (no),September 2018,China,0,"56,300",0,0,56300,8472905000,2018,September
105185,8482910050 Tapered Rollers For Roller Bearings (kg),July 2018,China,0,"2,623",2623,123,2623,8482910050,2018,July
105248,"8482991570 Cups (outer Ring) For Tapred Rller Berings,ex203mm (no)",February 2018,China,0,"10,615",10615,616,10615,8482991570,2018,February
105252,"8482991570 Cups (outer Ring) For Tapred Rller Berings,ex203mm (no)",June 2018,China,0,"26,727",26727,1550,26727,8482991570,2018,June
107821,"8507304000 Nickel-cadmium Batteries,elec Power For 8703.90 (no)",October 2018,China,0,"7,436",7436,186,7436,8507304000,2018,October
111592,"8529902900 Tv Tuners, As Specified In Us Note 10 To Ch 85 (no)",June 2018,China,0,"130,544",0,0,130544,8529902900,2018,June
112311,"8532250055 Fixed Capacitors, Paper/ Plastic, Leadless, Neso, (no)",February 2018,China,0,"2,334",0,0,2334,8532250055,2018,February
112316,"8532250055 Fixed Capacitors, Paper/ Plastic, Leadless, Neso, (no)",August 2018,China,0,"3,153",3153,789,3153,8532250055,2018,August
112318,"8532250055 Fixed Capacitors, Paper/ Plastic, Leadless, Neso, (no)",December 2018,China,0,"4,043",4043,1011,4043,8532250055,2018,December
113732,8539224000 Christmas-tree Lamps Lt=200 W & Gt 100 V (no),February 2018,China,0,"10,984",10984,637,10984,8539224000,2018,February
115628,8602100000 Diesel-electric Locomotives (no),January 2018,China,0,"79,252",0,0,79252,8602100000,2018,January
115629,8602100000 Diesel-electric Locomotives (no),February 2018,China,0,"961,046",0,0,961046,8602100000,2018,February
115630,8602100000 Diesel-electric Locomotives (no),March 2018,China,0,"2,001,076",0,0,2001076,8602100000,2018,March
115631,8602100000 Diesel-electric Locomotives (no),April 2018,China,0,"1,231,826",0,0,1231826,8602100000,2018,April
115632,8602100000 Diesel-electric Locomotives (no),May 2018,China,0,"598,783",0,0,598783,8602100000,2018,May
115633,8602100000 Diesel-electric Locomotives (no),June 2018,China,0,"1,417,128",0,0,1417128,8602100000,2018,June
115634,8602100000 Diesel-electric Locomotives (no),July 2018,China,0,"60,788",0,0,60788,8602100000,2018,July
115676,8607190600 Parts Of Axles For Railwy/tramwy Locos/ Roll Stock (kg),October 2018,China,0,"4,247",4247,17,4247,8607190600,2018,October
115678,8607190600 Parts Of Axles For Railwy/tramwy Locos/ Roll Stock (kg),December 2018,China,0,"7,752",7752,1969,7752,8607190600,2018,December
115880,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",January 2018,China,0,"496,833",0,0,496833,8701301075,2018,January
115881,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",February 2018,China,0,"371,891",0,0,371891,8701301075,2018,February
115882,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",March 2018,China,0,"1,637,605",0,0,1637605,8701301075,2018,March
115883,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",April 2018,China,0,"637,327",0,0,637327,8701301075,2018,April
115884,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",May 2018,China,0,"1,116,943",0,0,1116943,8701301075,2018,May
115885,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",June 2018,China,0,"1,230,105",0,0,1230105,8701301075,2018,June
115886,"8701301075 Trck-laying Trcts Agr,eng Lt=257.4 Kw (no)",July 2018,China,0,"130,440",130440,32610,130440,8701301075,2018,July
115930,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",January 2018,China,0,"5,843,000",0,0,5843000,8701951000,2018,January
115931,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",February 2018,China,0,"4,850,203",0,0,4850203,8701951000,2018,February
115932,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",March 2018,China,0,"7,128,008",0,0,7128008,8701951000,2018,March
115933,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",April 2018,China,0,"6,348,370",0,0,6348370,8701951000,2018,April
115934,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",May 2018,China,0,"8,804,115",0,0,8804115,8701951000,2018,May
115935,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",June 2018,China,0,"7,998,102",0,0,7998102,8701951000,2018,June
115936,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",July 2018,China,0,"2,715,861",0,0,2715861,8701951000,2018,July
115937,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",August 2018,China,0,"19,038",0,0,19038,8701951000,2018,August
115938,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",September 2018,China,0,"13,276",13276,3319,13276,8701951000,2018,September
115939,"8701951000 Trcts,agricultural Use, Exceeding 130 Kw,nesoi (no)",October 2018,China,0,"7,132",7132,1783,7132,8701951000,2018,October
116075,"8703240150 Pass Veh,only Spk Ign Ov 4 N/o 6 Cyl,ov 3000 cc (no)",January 2018,China,0,"201,486",201486,5037,201486,8703240150,2018,January
116076,"8703240150 Pass Veh,only Spk Ign Ov 4 N/o 6 Cyl,ov 3000 cc (no)",February 2018,China,0,"229,836",229836,5746,229836,8703240150,2018,February
116077,"8703240150 Pass Veh,only Spk Ign Ov 4 N/o 6 Cyl,ov 3000 cc (no)",March 2018,China,0,"658,396",658396,16460,658396,8703240150,2018,March
116078,"8703240150 Pass Veh,only Spk Ign Ov 4 N/o 6 Cyl,ov 3000 cc (no)",April 2018,China,0,"1,552,792",1552792,38819,1552792,8703240150,2018,April
116080,"8703240150 Pass Veh,only Spk Ign Ov 4 N/o 6 Cyl,ov 3000 cc (no)",June 2018,China,0,"2,043,306",2043306,51083,2043306,8703240150,2018,June
116091,"8703400020 Pass Veh,sprk Ig/elec,nchg,nesoi,4 Cyl,1500-3000cc (no)",January 2018,China,0,"291,114",291114,7277,291114,8703400020,2018,January
116092,"8703400020 Pass Veh,sprk Ig/elec,nchg,nesoi,4 Cyl,1500-3000cc (no)",February 2018,China,0,"33,846",33846,846,33846,8703400020,2018,February
116093,"8703400020 Pass Veh,sprk Ig/elec,nchg,nesoi,4 Cyl,1500-3000cc (no)",March 2018,China,0,"170,702",170702,4268,170702,8703400020,2018,March
116094,"8703400020 Pass Veh,sprk Ig/elec,nchg,nesoi,4 Cyl,1500-3000cc (no)",April 2018,China,0,"624,050",624050,15601,624050,8703400020,2018,April
116095,"8703400020 Pass Veh,sprk Ig/elec,nchg,nesoi,4 Cyl,1500-3000cc (no)",May 2018,China,0,"556,069",556069,13902,556069,8703400020,2018,May
116096,"8703400020 Pass Veh,sprk Ig/elec,nchg,nesoi,4 Cyl,1500-3000cc (no)",June 2018,China,0,"20,398",20398,510,20398,8703400020,2018,June
116221,8707905080 Bodies For Vehicles Of Heading 8705 (no),March 2018,China,0,"14,277",14277,571,14277,8707905080,2018,March
116222,8707905080 Bodies For Vehicles Of Heading 8705 (no),April 2018,China,0,"2,843",2843,114,2843,8707905080,2018,April
116223,8707905080 Bodies For Vehicles Of Heading 8705 (no),June 2018,China,0,"3,177",3177,127,3177,8707905080,2018,June
116224,8707905080 Bodies For Vehicles Of Heading 8705 (no),July 2018,China,0,"2,400",2400,96,2400,8707905080,2018,July
116225,8707905080 Bodies For Vehicles Of Heading 8705 (no),August 2018,China,0,"2,505",2505,100,2505,8707905080,2018,August
116226,8707905080 Bodies For Vehicles Of Heading 8705 (no),September 2018,China,0,"8,325",8325,333,8325,8707905080,2018,September
118583,8902000000 Fishng Vessls;factry Ships For Procs/presrvng Fish (no),January 2018,China,0,"192,050",0,0,192050,8902000000,2018,January
121209,9021904080 Pts For Pacemakers For Stimulating Heart Muscles (x),December 2018,China,0,"16,488",0,0,16488,9021904080,2018,December
122285,9029204040 Speedometers&tachometers Used In Civil Aircraft (no),August 2018,China,0,"2,753",0,0,2753,9029204040,2018,August
123473,"9102113020 Cases, Wrt Wtch,bty,mech Disp,no/1jw,gl/sl Pl Case (no)",October 2018,China,0,"22,675",22675,1361,22675,9102113020,2018,October
123481,"9102113030 Strap, Wrt Wtch,bty,mech Disp,no/1jw,gl/sl Pl Case (no)",June 2018,China,0,"73,643",73643,2063,73643,9102113030,2018,June
123485,"9102113030 Strap, Wrt Wtch,bty,mech Disp,no/1jw,gl/sl Pl Case (no)",October 2018,China,0,"2,259",2259,63,2259,9102113030,2018,October
123489,"9102113040 Bty For Wrt Wtch,bty,mech Disp,no/1jw,gl/sl Pl Cse (no)",April 2018,China,0,"4,455",4455,236,4455,9102113040,2018,April
123565,"9102116510 Mvt For Wrt Wtch,bty,mech Disp,gt 1jw,bd Tx,bse Mt (no)",January 2018,China,0,"15,858",15858,437,15858,9102116510,2018,January
123589,"9102116530 Strp For Wrt Wtch,bty,mech Disp,gt 1jw,bd Tx,bs Mt (no)",January 2018,China,0,"3,842",3842,538,3842,9102116530,2018,January
123601,"9102116540 Bty For Wrt Wtch,bty,mech Disp,gt 1jw,bnd Tx,bs Mt (no)",June 2018,China,0,"2,169",2169,115,2169,9102116540,2018,June
123608,"9102117010 Mvts For Wrt Wtch,bty,mech Disp,gt 1jw,gl/sl Pl Cs (no)",March 2018,China,0,"3,268",3268,194,3268,9102117010,2018,March
123619,"9102117020 Case For Wrt Wtch,bty,mech Disp,gt 1jw,gl/sl Pl Cs (no)",March 2018,China,0,"2,235",2235,134,2235,9102117020,2018,March
123629,"9102117030 Strap For Wrt Wtch,bty,mech Disp,gt 1jw,gd/sl Pl (no)",February 2018,China,0,"2,097",2097,59,2097,9102117030,2018,February
124013,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",February 2018,China,0,"57,541",57541,1169,57541,9102294510,2018,February
124014,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",March 2018,China,0,"6,921",6921,141,6921,9102294510,2018,March
124015,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",April 2018,China,0,"2,376",2376,48,2376,9102294510,2018,April
124016,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",May 2018,China,0,"3,953",3953,80,3953,9102294510,2018,May
124018,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",September 2018,China,0,"16,544",16544,349,16544,9102294510,2018,September
124019,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",October 2018,China,0,"14,966",14966,316,14966,9102294510,2018,October
124021,"9102294510 Mvt For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",December 2018,China,0,"40,524",40524,855,40524,9102294510,2018,December
124023,"9102294520 Cse For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",February 2018,China,0,"6,982",6982,335,6982,9102294520,2018,February
124025,"9102294520 Cse For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",September 2018,China,0,"2,835",2835,136,2835,9102294520,2018,September
124026,"9102294520 Cse For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",October 2018,China,0,"2,994",2994,144,2994,9102294520,2018,October
124028,"9102294520 Cse For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",December 2018,China,0,"5,327",5327,256,5327,9102294520,2018,December
124030,"9102294530 Bnd For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",February 2018,China,0,"3,411",3411,382,3411,9102294530,2018,February
124032,"9102294530 Bnd For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",September 2018,China,0,"2,143",2143,240,2143,9102294530,2018,September
124033,"9102294530 Bnd For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",October 2018,China,0,"2,263",2263,253,2263,9102294530,2018,October
124035,"9102294530 Bnd For Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15 Ea (no)",December 2018,China,0,"2,057",2057,230,2057,9102294530,2018,December
124038,"9102295010 Mvt, Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",March 2018,China,0,"13,898",13898,282,13898,9102295010,2018,March
124039,"9102295010 Mvt, Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",April 2018,China,0,"13,916",13916,283,13916,9102295010,2018,April
124040,"9102295010 Mvt, Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",May 2018,China,0,"4,134",4134,84,4134,9102295010,2018,May
124043,"9102295010 Mvt, Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",October 2018,China,0,"53,652",53652,1135,53652,9102295010,2018,October
124048,"9102295020 Cse, Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",April 2018,China,0,"2,485",2485,119,2485,9102295020,2018,April
124050,"9102295020 Cse, Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",October 2018,China,0,"10,136",10136,487,10136,9102295020,2018,October
124056,"9102295030 Band Wrt Wtch,nt Bty,bs Mt,ov7,n/o17jw,ov$15,nesoi (no)",October 2018,China,0,"6,969",6969,154,6969,9102295030,2018,October
124344,"9105118030 Cases For Travel Alarm Clocks, Battery, Nesoi (no)",March 2018,China,0,"2,336",2336,161,2336,9105118030,2018,March
126013,"9306900050 Bombs, Grenades, Torpedos, & Siml Munitions Of War (x)",March 2018,China,0,"25,439",0,0,25439,9306900050,2018,March
131800,9801001063 Goods In Heading 8701 Returned After Being Exportd (no),July 2018,China,0,"3,697,466",0,0,3697466,9801001063,2018,July
131802,9801001063 Goods In Heading 8701 Returned After Being Exportd (no),September 2018,China,0,"11,511,154",0,0,11511154,9801001063,2018,September
131803,9801001063 Goods In Heading 8701 Returned After Being Exportd (no),October 2018,China,0,"10,847,088",0,0,10847088,9801001063,2018,October
131804,9801001063 Goods In Heading 8701 Returned After Being Exportd (no),November 2018,China,0,"9,918,978",0,0,9918978,9801001063,2018,November
131805,9801001063 Goods In Heading 8701 Returned After Being Exportd (no),December 2018,China,0,"10,283,722",0,0,10283722,9801001063,2018,December
